Fuerza Bruta - s1: holi, s2: holiwi, Resultado: 2, Tiempo: 25 us
Fuerza Bruta - s1: aaaffv, s2: dkawvw, Resultado: 7, Tiempo: 420 us
Programación Dinámica - s1: aaaffv, s2: dkawvw, Resultado: 7, Tiempo: 19 us
Fuerza Bruta - s1: aaaffvl, s2: dkawvwm, Resultado: 8, Tiempo: 2183 us
Programación Dinámica - s1: aaaffvl, s2: dkawvwm, Resultado: 8, Tiempo: 27 us
Fuerza Bruta - s1: aaaffvlp, s2: dkawvwmm, Resultado: 9, Tiempo: 10045 us
Programación Dinámica - s1: aaaffvlp, s2: dkawvwmm, Resultado: 9, Tiempo: 35 us
Fuerza Bruta - s1: aaaffvlpk, s2: dkawvwmmv, Resultado: 10, Tiempo: 45205 us
Programación Dinámica - s1: aaaffvlpk, s2: dkawvwmmv, Resultado: 10, Tiempo: 26 us
Fuerza Bruta - s1: aaaffvlpkb, s2: dkawvwmmvz, Resultado: 11, Tiempo: 233137 us
Programación Dinámica - s1: aaaffvlpkb, s2: dkawvwmmvz, Resultado: 11, Tiempo: 35 us
Fuerza Bruta - s1: aaaffvlpkbb, s2: dkawvwmmvzm, Resultado: 13, Tiempo: 1213942 us
Programación Dinámica - s1: aaaffvlpkbb, s2: dkawvwmmvzm, Resultado: 13, Tiempo: 42 us
Fuerza Bruta - s1: aaaff, s2: dkawvwmmvzm, Resultado: 11, Tiempo: 3435 us
Programación Dinámica - s1: aaaff, s2: dkawvwmmvzm, Resultado: 11, Tiempo: 23 us
Fuerza Bruta - s1: aaaffaggasd, s2: dkawv, Resultado: 11, Tiempo: 5304 us
Programación Dinámica - s1: aaaffaggasd, s2: dkawv, Resultado: 11, Tiempo: 32 us
